url|name|price|rating|description|instruction|country
https://goldapple.ru//83670200008-sense-of-humor|State Of Mind Sense of humor|8599|3.8|В состав набора входит парфюмерная вода 20 мл в футляре + рефилл 20 мл.  Зеленый цитрусовый аромат Sense of Humor – это эйфорическое сочетание яркости и экзотики. Игривое и весёлое зелье открывается неожиданными нотами мате и чая Дарджилинг в сочетании с листьями чёрной смородины и кинзы. Аромат переходит в свежую гармонию солнечного цитрона, мандарина и персика, дополненную тёплыми нотами кедра и мускуса. Насыщенная и бодрящая композиция намекает: юмор – это лучшая одежда, которую нужно носить в обществе.   Верхние ноты: персик, листья чёрной смородины, мускус  Ноты сердца: чай Дарджилинг, цитрон, мате  Базовые ноты: мандарин, кориандр, кедр|Инструкция отсутствует|страна происхождения Франция  изготовитель: ALEGRIA SAS, 36, rue des Fontaines, 92310 Sèvres, Франция
https://goldapple.ru//19000010972-allegra-fiori-d-amore|Bvlgari Allegra Fiori D'amore|14880|5|Парфюмерная вода Fiori D'amore воплощает истинный аромат красной розы, свежей и бархатистой. Чувственная цветочная композиция из коллекции Bvlgari Allegra, раскрывающей яркость и глубину итальянских эмоций, отражает многогранные аспекты любви, мягкую страсть и энергию любовного пыла, присущего итальянцам. Одновременно деликатный и соблазнительный аромат пробуждает чувственность и восторг от получения этого пышного и свежего букета из турецких и болгарских роз, украшенных современным малиновым аккордом. Усилить яркий аромат и создать индивидуальное сочетание под своё настроение можно с помощью одной из эссенций коллекции Bvlgari Allegra, идеально дополняющих композицию. Ваш персонализированный аромат начинается здесь!   Ключевые ноты: роза, малина|Инструкция отсутствует|"страна происхождения Италия  изготовитель: ""BULGARI GLOBAL OPERATIONS S.A."", адрес: 34, Rue de Monruz, CH-2000 Neuchâtel, Швейцария."
https://goldapple.ru//19000337994-aqua-allegoria-forte-mandarine-basilic|Guerlain Aqua Allegoria Forte Mandarine Basilic|12880|0|Mandarine Basilic Forte - аромат, в котором яркий итальянский мандарин сияет под золотистым светом заходящего солнца. Он сочетается с теплотой ванили и чарующей силой сандалового дерева.  Состав Набора: Парфюмерная вода Aqua Allegoria Forte Mandarine Basilic, 75 мл Парфюмерная вода Aqua Allegoria Forte Mandarine Basilic, 7,5 мл Парфюмированное молочко для тела Aqua Allegoria Bergamote, 75 мл  Коробка набора Guerlain облачена в глубоко синий цвет и украшена уникальным золотым дизайном, передающим атмосферу волшебства новогодней ночи. Пчёлы, символ Guerlain, приглашают вас в улей, чтобы тщательно подобрать для вас подарок из легендарных творений Дома. Рассыпая волшебную пыльцу, они исполняют любое ваше желание, оставляя за собой сверкающий след.|Инструкция отсутствует|"страна происхождения Франция  изготовитель: ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕЛДИКО"", 123308, г. Москва, пр-кт Маршала Жукова, д. 2, к. 2, стр. 1."
https://goldapple.ru//19000321471-tabacco-1815|TEATRO FRAGRANZE UNICHE Tabacco 1815|14850|0|Тайна и очарование традиций Тосканы. Роскошный аромат Tabacco 1815 посвящен 200-летнему юбилею знаменитой тосканской сигары (1615 год). Звучит нотами специй, цейлонской корицы, гвоздики и полыни, раскрывающими сильный табачный характер. В сердце аромата — табак, в обрамлении ветивера и кокоса. Мощный аккорд из гелиотропа, бензоина, ванили и амбры останется в памяти надолго. Особенно обратите внимание на этот аромат все, кому важно подчеркнуть статусность в офисе.    Атмосферный аромат наполняет пространство особым благоуханием и располагает к продолжительному и приятному общению.|Окуните все палочки во флакон; для более интенсивного распространения аромата переворачивайте палочки несколько раз в день.  Регулировать аромат можно уменьшая или увеличивая число палочек. Палочки играют основную роль в интенсивности ароматизации, чем больше палочек, тем аромат насыщеннее. Для достижения лучших результатов, флакон не стоит никогда выставлять на прямой солнечный свет или ставить рядом с источниками тепла, так как под его воздействием происходит испарение аромата.|страна происхождения Италия  изготовитель: Teatro Fragranze Uniche srl
https://goldapple.ru//19000301045-fiery-fig-24-05|Neydo Fiery Fig 24.05|5200|0|Аромат Fiery Fig 24.05 - сон Мии, в котором летний день наполнен ароматом разогретых солнцем плодов и листьев инжира, а люди наслаждаются сливочными коктейлями и кружатся в беспечном танце под звуки гитары. Аромат-мелодия с нежным инжирно-молочным аккордом, свежими нотами травы и благородного кедра.  Страна производства парфюмерной композиции - Франция.  Mia, 24.05 Мы трясёмся в пикапе по грунтовой дороге, оставляя за собой клубы пыли. Вокруг только раскалённые знойным солнцем поля, уходящие за горизонт.   Мы подъезжаем к ферме, где воздух пропитан сладким ароматом инжира и сочной зеленью фиговых деревьев. Меня встречают, будто мы знакомы много лет. Стоят массивные столы из полированного кедра, заваленные спелым инжиром и влажными хрустящими листьями всех оттенков зелёного. Я хватаю самые спелые плоды и откусываю от них прохладную сладкую мякоть.  Закрываю глаза от восторга: как это вкусно! Чья-то рука касается моего плеча и увлекает меня за собой. И вот мы уже бежим прочь. Перед нами извилистая дорога на холм, засаженная вдоль фиговыми деревьями. Оттуда доносится смех и музыка.   Горизонт вспыхивает красным закатом, и мы уже в центре весёлой толпы. Все одеты в удивительные костюмы, а их лица расписаны яркими красками. Люди смеются, пьют ароматные коктейли с кокосовым молоком и инжиром, танцуя без остановки. Музыкант быстро и непринужденно перебирает пальцами струны гитары.   И хотя я впервые слышу эту мелодию, мне кажется… я её знаю! Мы кружимся в танце всё быстрее, быстрее, быстрее! Пока всё не сливается в единый цветной круговорот...|Только для наружного применения.|"страна происхождения Республика Корея  изготовитель: ""White Space Brand Lab AG"", адрес: 6300, Zug, Baarerstrasse 14, Швейцария."
https://goldapple.ru//19000006162-grassland|BANANA REPUBLIC GRASSLAND|3735|4.7|Аромат BANANA REPUBLIC с травяным и фруктовым аккордами раскрывает очарование природы и переносит на зелёный луг, окруженный холмами. Яркие фруктовые ноты бергамота, помело и яблока создают впечатляющий контраст с терпкими травами и прохладной нотой озона. Листья мяты, лаванда, герань и петитгрейн позволяют ощутить дыхание свежего весеннего дня и почувствовать аромат свежескошенной травы. Базу аромата формируют амбра, мох, сандал, ваниль и пачули. Эта композиция – свежий взгляд на восточные фужерные ароматы.  Парфюмер - Gino Percontino.|Только для наружного применения.|страна происхождения Франция  изготовитель: «Park Fragrance LLC», адрес: 70 West 36th Street Suite 4B, New York, NY, 10018, США
https://goldapple.ru//19000244567-long-board|MiN NEW YORK Long Board|4866|4.2|Солёные волны бьются о берег. Тёплое солнце ласкает кожу. Шум океана сливается с пением морских птиц.  Аромат Long Board от MiN NEW YORK с нотами кокоса, апельсинового цвета и солнцезащитного крема напоминает о приятных и беззаботных моментах отдыха в кругу друзей, о смехе и непринужденных разговорах.  Амбра, ваниль, и ветивер согревают, а морские ноты и кардамон переносят на пляж и позволяют насладиться свежестью океана.|Только для наружного применения.|"страна происхождения Франция  изготовитель: ""Grey Matter Holdings Inc."", адрес: 3411 Silverside Road, Tatnall Building# 104, Wilmington, DE 19810, Соединенные Штаты Америки."
https://goldapple.ru//19000196134-peonia|WALLY 1925 Peonia|7430|0|Пион – благородный и нежный цветок, наполняющий элегантным и утонченным ароматом любое помещение. В вашем доме воцарится гармония и порядок. Большой популярностью этот аромат пользуется и в коммерческих помещениях.|Окуните все палочки во флакон;  для более интенсивного распространения аромата переворачивайте палочки несколько раз в день. Регулировать аромат можно уменьшая или увеличивая число палочек.  Палочки играют основную роль в интенсивности ароматизации, чем больше палочек, тем аромат насыщеннее.  Для достижения лучших результатов, флакон не стоит никогда выставлять на прямой солнечный свет или ставить рядом с источниками тепла, так как под его воздействием происходит испарение аромата.|страна происхождения Италия  изготовитель: L.C.P.L.A. s.r.l., Via della Robbia 21, 59013 Montemurlo-PO
https://goldapple.ru//19000125771-pleine-lune|BASTILLE Pleine Lune|8720|3.6|Французская парфюмерная вода BASTILLE произведена на основе натуральных компонентов. Соблазнительный цветочный аромат PLEINE LUNE создан, чтобы очаровывать. Гипнотическая тубероза стала главной героиней этой элегантной парфюмерной истории.  Её смелый и чувственный аккорд гармонично сочетается с невинным, свежим дуэтом чая маття и бергамота, превращающим звучание аромата в интригующую игру. Притягательная бархатная композиция одновременно манит и бросает вызов.  Парфюмер – Anne Flipo.|Для наружного применения.|"страна происхождения Франция  изготовитель: ""ESTER SAS"", адрес: 5 AVENUE DU GEN DE GAULLE, 94160 SAINT-MANDE, Франция."
https://goldapple.ru//19000004549-perfume-vanilla-blend|Zielinski & Rozen Black Vanilla|2200|4.7|Я хочу, чтобы парфюм трогал до глубины души, говорил о личности и отражал ее уникальность. Эрез Розен   Замысловатая ольфакторная книга, сюжет которой раскрывается новыми гранями на каждом человеке. Необычные сочетания нот и оригинальное построение аккордов подчеркивают индивидуальность и раскрывают суть ярче любых слов.   Все ароматы Zielinski&Rozen категории унисекс.  У данного продукта меняется название аромата. Актуальное название : Black Vanilla.|Наносите парфюм по обе стороны плеч или распылите впереди себя и войдите в «облако» аромата.|страна происхождения Россия
